"","trip_id","origin_id","origin_lat","origin_lon","dest_lat","dest_lon","distance_mi","duration_min"
"1",1,1,37.756221,-122.476689,37.662305,-122.384182,10.9,64.8
"2",2,3,37.801098,-122.425277,37.662305,-122.384182,14.2,75.3
"3",3,8,37.777596,-122.423173,37.662305,-122.384182,11.5,64.4
"4",4,9,37.784876,-122.424686,37.662305,-122.384182,12.4,70.1
"5",5,10,37.72587,-122.4752,37.662305,-122.384182,8.5,52.4
"6",6,12,37.77105,-122.4371,37.662305,-122.384182,11.9,67.2
"7",7,13,37.77438,-122.40449,37.662305,-122.384182,10.5,58.3
"8",8,15,37.76114,-122.43514,37.662305,-122.384182,11.2,62
"9",9,17,37.73333,-122.43354,37.662305,-122.384182,7.7,43.8
"10",10,19,37.786904,-122.44034,37.662305,-122.384182,13.2,74.6
"11",11,23,37.78424,-122.408379,37.662305,-122.384182,11.4,63.7
"12",12,24,37.79286,-122.393488,37.662305,-122.384182,11.7,61.7
"13",13,25,37.778723,-122.393037,37.662305,-122.384182,10.9,59.4
"14",14,26,37.780349,-122.438781,37.662305,-122.384182,12.7,72
"15",15,27,37.790461,-122.393251,37.662305,-122.384182,11.6,61.7
"16",16,28,37.73734,-122.47515,37.662305,-122.384182,9.5,57
"17",17,29,37.764548,-122.452879,37.662305,-122.384182,11.6,68.9
"18",18,31,37.764386,-122.430909,37.662305,-122.384182,11.1,61.4
"19",19,32,37.751644,-122.427545,37.662305,-122.384182,9.3,53.4
"20",20,33,37.748366,-122.414207,37.662305,-122.384182,9.3,51.8
"21",21,34,37.799218,-122.441001,37.662305,-122.384182,15,81.2
"22",22,35,37.76015,-122.47671,37.662305,-122.384182,11.7,69.8
"23",23,36,37.780776,-122.472217,37.662305,-122.384182,13.1,80.1
